ID Crime Group,Crime Group,ID Crime,Crime,ID Year,Year,Cases
1,Robo,1,Robo con violencia o intimidación,2005,2005,54467.0
1,Robo,1,Robo con violencia o intimidación,2006,2006,56491.0
1,Robo,1,Robo con violencia o intimidación,2007,2007,65929.0
1,Robo,1,Robo con violencia o intimidación,2008,2008,61938.0
1,Robo,1,Robo con violencia o intimidación,2009,2009,61521.0
1,Robo,1,Robo con violencia o intimidación,2010,2010,53128.0
1,Robo,1,Robo con violencia o intimidación,2011,2011,61399.0
1,Robo,1,Robo con violencia o intimidación,2012,2012,54080.0
1,Robo,1,Robo con violencia o intimidación,2013,2013,57975.0
1,Robo,1,Robo con violencia o intimidación,2014,2014,59893.0
1,Robo,1,Robo con violencia o intimidación,2015,2015,67272.0
1,Robo,1,Robo con violencia o intimidación,2016,2016,65678.0
1,Robo,2,Robo por sorpresa,2005,2005,19972.0
1,Robo,2,Robo por sorpresa,2006,2006,21744.0
1,Robo,2,Robo por sorpresa,2007,2007,27491.0
1,Robo,2,Robo por sorpresa,2008,2008,27599.0
1,Robo,2,Robo por sorpresa,2009,2009,30233.0
1,Robo,2,Robo por sorpresa,2010,2010,28390.0
1,Robo,2,Robo por sorpresa,2011,2011,30547.0
1,Robo,2,Robo por sorpresa,2012,2012,27568.0
1,Robo,2,Robo por sorpresa,2013,2013,35069.0
1,Robo,2,Robo por sorpresa,2014,2014,37143.0
1,Robo,2,Robo por sorpresa,2015,2015,39190.0
1,Robo,2,Robo por sorpresa,2016,2016,36402.0
1,Robo,3,Robo con fuerza,2005,2005,168145.0
1,Robo,3,Robo con fuerza,2006,2006,169154.0
1,Robo,3,Robo con fuerza,2007,2007,179304.0
1,Robo,3,Robo con fuerza,2008,2008,183568.0
1,Robo,3,Robo con fuerza,2009,2009,210259.0
1,Robo,3,Robo con fuerza,2010,2010,210353.0
1,Robo,3,Robo con fuerza,2011,2011,228608.0
1,Robo,3,Robo con fuerza,2012,2012,215338.0
1,Robo,3,Robo con fuerza,2013,2013,216966.0
1,Robo,3,Robo con fuerza,2014,2014,206820.0
1,Robo,3,Robo con fuerza,2015,2015,222058.0
1,Robo,3,Robo con fuerza,2016,2016,209167.0
1,Robo,4,Robo de vehículo,2005,2005,12102.0
1,Robo,4,Robo de vehículo,2006,2006,13638.0
1,Robo,4,Robo de vehículo,2007,2007,19277.0
1,Robo,4,Robo de vehículo,2008,2008,21414.0
1,Robo,4,Robo de vehículo,2009,2009,27837.0
1,Robo,4,Robo de vehículo,2010,2010,30757.0
1,Robo,4,Robo de vehículo,2011,2011,34739.0
1,Robo,4,Robo de vehículo,2012,2012,33013.0
1,Robo,4,Robo de vehículo,2013,2013,31218.0
1,Robo,4,Robo de vehículo,2014,2014,30124.0
1,Robo,4,Robo de vehículo,2015,2015,31946.0
1,Robo,4,Robo de vehículo,2016,2016,29775.0
1,Robo,5,Robo accesorios de vehículo,2005,2005,39989.0
1,Robo,5,Robo accesorios de vehículo,2006,2006,35080.0
1,Robo,5,Robo accesorios de vehículo,2007,2007,44020.0
1,Robo,5,Robo accesorios de vehículo,2008,2008,46071.0
1,Robo,5,Robo accesorios de vehículo,2009,2009,55047.0
1,Robo,5,Robo accesorios de vehículo,2010,2010,57248.0
1,Robo,5,Robo accesorios de vehículo,2011,2011,63169.0
1,Robo,5,Robo accesorios de vehículo,2012,2012,58703.0
1,Robo,5,Robo accesorios de vehículo,2013,2013,61628.0
1,Robo,5,Robo accesorios de vehículo,2014,2014,58414.0
1,Robo,5,Robo accesorios de vehículo,2015,2015,65167.0
1,Robo,5,Robo accesorios de vehículo,2016,2016,61586.0
1,Robo,6,Robo en lugar habitado,2005,2005,68280.0
1,Robo,6,Robo en lugar habitado,2006,2006,65030.0
1,Robo,6,Robo en lugar habitado,2007,2007,69109.0
1,Robo,6,Robo en lugar habitado,2008,2008,68820.0
1,Robo,6,Robo en lugar habitado,2009,2009,74569.0
1,Robo,6,Robo en lugar habitado,2010,2010,68537.0
1,Robo,6,Robo en lugar habitado,2011,2011,74723.0
1,Robo,6,Robo en lugar habitado,2012,2012,71992.0
1,Robo,6,Robo en lugar habitado,2013,2013,70900.0
1,Robo,6,Robo en lugar habitado,2014,2014,65404.0
1,Robo,6,Robo en lugar habitado,2015,2015,67709.0
1,Robo,6,Robo en lugar habitado,2016,2016,62320.0
1,Robo,7,Robo en lugar no habitado,2005,2005,34764.0
1,Robo,7,Robo en lugar no habitado,2006,2006,38409.0
1,Robo,7,Robo en lugar no habitado,2007,2007,38173.0
1,Robo,7,Robo en lugar no habitado,2008,2008,40193.0
1,Robo,7,Robo en lugar no habitado,2009,2009,45551.0
1,Robo,7,Robo en lugar no habitado,2010,2010,45221.0
1,Robo,7,Robo en lugar no habitado,2011,2011,49358.0
1,Robo,7,Robo en lugar no habitado,2012,2012,46630.0
1,Robo,7,Robo en lugar no habitado,2013,2013,47445.0
1,Robo,7,Robo en lugar no habitado,2014,2014,47067.0
1,Robo,7,Robo en lugar no habitado,2015,2015,51171.0
1,Robo,7,Robo en lugar no habitado,2016,2016,49556.0
1,Robo,8,Otros robos con fuerza,2005,2005,13010.0
1,Robo,8,Otros robos con fuerza,2006,2006,16997.0
1,Robo,8,Otros robos con fuerza,2007,2007,8725.0
1,Robo,8,Otros robos con fuerza,2008,2008,7070.0
1,Robo,8,Otros robos con fuerza,2009,2009,7255.0
1,Robo,8,Otros robos con fuerza,2010,2010,8590.0
1,Robo,8,Otros robos con fuerza,2011,2011,6619.0
1,Robo,8,Otros robos con fuerza,2012,2012,5000.0
1,Robo,8,Otros robos con fuerza,2013,2013,5775.0
1,Robo,8,Otros robos con fuerza,2014,2014,5811.0
1,Robo,8,Otros robos con fuerza,2015,2015,6065.0
1,Robo,8,Otros robos con fuerza,2016,2016,5930.0
2,Hurtos,9,Hurtos,2005,2005,155105.0
2,Hurtos,9,Hurtos,2006,2006,153626.0
2,Hurtos,9,Hurtos,2007,2007,167780.0
2,Hurtos,9,Hurtos,2008,2008,175320.0
2,Hurtos,9,Hurtos,2009,2009,190322.0
2,Hurtos,9,Hurtos,2010,2010,186180.0
2,Hurtos,9,Hurtos,2011,2011,207976.0
2,Hurtos,9,Hurtos,2012,2012,190955.0
2,Hurtos,9,Hurtos,2013,2013,188145.0
2,Hurtos,9,Hurtos,2014,2014,175858.0
2,Hurtos,9,Hurtos,2015,2015,183992.0
2,Hurtos,9,Hurtos,2016,2016,172230.0
3,Lesiones,10,Lesiones,2005,2005,99304.0
3,Lesiones,10,Lesiones,2006,2006,100642.0
3,Lesiones,10,Lesiones,2007,2007,107520.0
3,Lesiones,10,Lesiones,2008,2008,116699.0
3,Lesiones,10,Lesiones,2009,2009,118226.0
3,Lesiones,10,Lesiones,2010,2010,114425.0
3,Lesiones,10,Lesiones,2011,2011,121873.0
3,Lesiones,10,Lesiones,2012,2012,105719.0
3,Lesiones,10,Lesiones,2013,2013,94976.0
3,Lesiones,10,Lesiones,2014,2014,79022.0
3,Lesiones,10,Lesiones,2015,2015,79934.0
3,Lesiones,10,Lesiones,2016,2016,75222.0
3,Lesiones,11,Lesiones graves,2005,2005,23257.0
3,Lesiones,11,Lesiones graves,2006,2006,20984.0
3,Lesiones,11,Lesiones graves,2007,2007,21714.0
3,Lesiones,11,Lesiones graves,2008,2008,23268.0
3,Lesiones,11,Lesiones graves,2009,2009,23793.0
3,Lesiones,11,Lesiones graves,2010,2010,22224.0
3,Lesiones,11,Lesiones graves,2011,2011,22948.0
3,Lesiones,11,Lesiones graves,2012,2012,19810.0
3,Lesiones,11,Lesiones graves,2013,2013,18222.0
3,Lesiones,11,Lesiones graves,2014,2014,15935.0
3,Lesiones,11,Lesiones graves,2015,2015,15961.0
3,Lesiones,11,Lesiones graves,2016,2016,15241.0
3,Lesiones,12,Lesiones leves,2005,2005,76047.0
3,Lesiones,12,Lesiones leves,2006,2006,79658.0
3,Lesiones,12,Lesiones leves,2007,2007,85736.0
3,Lesiones,12,Lesiones leves,2008,2008,93431.0
3,Lesiones,12,Lesiones leves,2009,2009,94433.0
3,Lesiones,12,Lesiones leves,2010,2010,92201.0
3,Lesiones,12,Lesiones leves,2011,2011,98925.0
3,Lesiones,12,Lesiones leves,2012,2012,85909.0
3,Lesiones,12,Lesiones leves,2013,2013,76754.0
3,Lesiones,12,Lesiones leves,2014,2014,63087.0
3,Lesiones,12,Lesiones leves,2015,2015,63973.0
3,Lesiones,12,Lesiones leves,2016,2016,59981.0
4,Homicidios,13,Homicidios,2005,2005,568.0
4,Homicidios,13,Homicidios,2006,2006,583.0
4,Homicidios,13,Homicidios,2007,2007,574.0
4,Homicidios,13,Homicidios,2008,2008,556.0
4,Homicidios,13,Homicidios,2009,2009,592.0
4,Homicidios,13,Homicidios,2010,2010,486.0
4,Homicidios,13,Homicidios,2011,2011,543.0
4,Homicidios,13,Homicidios,2012,2012,483.0
4,Homicidios,13,Homicidios,2013,2013,481.0
4,Homicidios,13,Homicidios,2014,2014,484.0
4,Homicidios,13,Homicidios,2015,2015,526.0
4,Homicidios,13,Homicidios,2016,2016,495.0
5,Violación,14,Violación,2005,2005,2673.0
5,Violación,14,Violación,2006,2006,2841.0
5,Violación,14,Violación,2007,2007,2900.0
5,Violación,14,Violación,2008,2008,3315.0
5,Violación,14,Violación,2009,2009,3344.0
5,Violación,14,Violación,2010,2010,3073.0
5,Violación,14,Violación,2011,2011,3543.0
5,Violación,14,Violación,2012,2012,3204.0
5,Violación,14,Violación,2013,2013,3143.0
5,Violación,14,Violación,2014,2014,2550.0
5,Violación,14,Violación,2015,2015,2710.0
5,Violación,14,Violación,2016,2016,2617.0
