ID Age Range,Age Range,ID Sex,Sex,ID Year,Year,Population
1,0 a 4,1,Femenino,2005,2005,607264.0
1,0 a 4,1,Femenino,2006,2006,608314.0
1,0 a 4,1,Femenino,2007,2007,609364.0
1,0 a 4,1,Femenino,2008,2008,610414.0
1,0 a 4,1,Femenino,2009,2009,611465.0
1,0 a 4,1,Femenino,2010,2010,612515.0
1,0 a 4,1,Femenino,2011,2011,613598.0
1,0 a 4,1,Femenino,2012,2012,614681.0
1,0 a 4,1,Femenino,2013,2013,615764.0
1,0 a 4,1,Femenino,2014,2014,616848.0
1,0 a 4,1,Femenino,2015,2015,617931.0
1,0 a 4,1,Femenino,2016,2016,616534.0
1,0 a 4,1,Femenino,2017,2017,615138.0
1,0 a 4,1,Femenino,2018,2018,613741.0
1,0 a 4,1,Femenino,2019,2019,612345.0
1,0 a 4,1,Femenino,2020,2020,610948.0
1,0 a 4,2,Masculino,2005,2005,630199.0
1,0 a 4,2,Masculino,2006,2006,631321.0
1,0 a 4,2,Masculino,2007,2007,632443.0
1,0 a 4,2,Masculino,2008,2008,633566.0
1,0 a 4,2,Masculino,2009,2009,634688.0
1,0 a 4,2,Masculino,2010,2010,635810.0
1,0 a 4,2,Masculino,2011,2011,636963.0
1,0 a 4,2,Masculino,2012,2012,638116.0
1,0 a 4,2,Masculino,2013,2013,639270.0
1,0 a 4,2,Masculino,2014,2014,640423.0
1,0 a 4,2,Masculino,2015,2015,641576.0
1,0 a 4,2,Masculino,2016,2016,640150.0
1,0 a 4,2,Masculino,2017,2017,638724.0
1,0 a 4,2,Masculino,2018,2018,637299.0
1,0 a 4,2,Masculino,2019,2019,635873.0
1,0 a 4,2,Masculino,2020,2020,634447.0
2,5 a 9,1,Femenino,2005,2005,652155.0
2,5 a 9,1,Femenino,2006,2006,643213.0
2,5 a 9,1,Femenino,2007,2007,634271.0
2,5 a 9,1,Femenino,2008,2008,625328.0
2,5 a 9,1,Femenino,2009,2009,616386.0
2,5 a 9,1,Femenino,2010,2010,607444.0
2,5 a 9,1,Femenino,2011,2011,608448.0
2,5 a 9,1,Femenino,2012,2012,609453.0
2,5 a 9,1,Femenino,2013,2013,610458.0
2,5 a 9,1,Femenino,2014,2014,611463.0
2,5 a 9,1,Femenino,2015,2015,612468.0
2,5 a 9,1,Femenino,2016,2016,613494.0
2,5 a 9,1,Femenino,2017,2017,614521.0
2,5 a 9,1,Femenino,2018,2018,615548.0
2,5 a 9,1,Femenino,2019,2019,616574.0
2,5 a 9,1,Femenino,2020,2020,617601.0
2,5 a 9,2,Masculino,2005,2005,675971.0
2,5 a 9,2,Masculino,2006,2006,666787.0
2,5 a 9,2,Masculino,2007,2007,657604.0
2,5 a 9,2,Masculino,2008,2008,648420.0
2,5 a 9,2,Masculino,2009,2009,639236.0
2,5 a 9,2,Masculino,2010,2010,630053.0
2,5 a 9,2,Masculino,2011,2011,631131.0
2,5 a 9,2,Masculino,2012,2012,632209.0
2,5 a 9,2,Masculino,2013,2013,633287.0
2,5 a 9,2,Masculino,2014,2014,634365.0
2,5 a 9,2,Masculino,2015,2015,635444.0
2,5 a 9,2,Masculino,2016,2016,636552.0
2,5 a 9,2,Masculino,2017,2017,637660.0
2,5 a 9,2,Masculino,2018,2018,638768.0
2,5 a 9,2,Masculino,2019,2019,639876.0
2,5 a 9,2,Masculino,2020,2020,640984.0
3,10 a 14,1,Femenino,2005,2005,731237.0
3,10 a 14,1,Femenino,2006,2006,715533.0
3,10 a 14,1,Femenino,2007,2007,699830.0
3,10 a 14,1,Femenino,2008,2008,684127.0
3,10 a 14,1,Femenino,2009,2009,668424.0
3,10 a 14,1,Femenino,2010,2010,652720.0
3,10 a 14,1,Femenino,2011,2011,643735.0
3,10 a 14,1,Femenino,2012,2012,634750.0
3,10 a 14,1,Femenino,2013,2013,625765.0
3,10 a 14,1,Femenino,2014,2014,616779.0
3,10 a 14,1,Femenino,2015,2015,607794.0
3,10 a 14,1,Femenino,2016,2016,608726.0
3,10 a 14,1,Femenino,2017,2017,609657.0
3,10 a 14,1,Femenino,2018,2018,610588.0
3,10 a 14,1,Femenino,2019,2019,611520.0
3,10 a 14,1,Femenino,2020,2020,612451.0
3,10 a 14,2,Masculino,2005,2005,757261.0
3,10 a 14,2,Masculino,2006,2006,741051.0
3,10 a 14,2,Masculino,2007,2007,724842.0
3,10 a 14,2,Masculino,2008,2008,708633.0
3,10 a 14,2,Masculino,2009,2009,692423.0
3,10 a 14,2,Masculino,2010,2010,676215.0
3,10 a 14,2,Masculino,2011,2011,666971.0
3,10 a 14,2,Masculino,2012,2012,657727.0
3,10 a 14,2,Masculino,2013,2013,648484.0
3,10 a 14,2,Masculino,2014,2014,639241.0
3,10 a 14,2,Masculino,2015,2015,629997.0
3,10 a 14,2,Masculino,2016,2016,631023.0
3,10 a 14,2,Masculino,2017,2017,632049.0
3,10 a 14,2,Masculino,2018,2018,633075.0
3,10 a 14,2,Masculino,2019,2019,634101.0
3,10 a 14,2,Masculino,2020,2020,635127.0
4,15 a 19,1,Femenino,2005,2005,719637.0
4,15 a 19,1,Femenino,2006,2006,722048.0
4,15 a 19,1,Femenino,2007,2007,724459.0
4,15 a 19,1,Femenino,2008,2008,726869.0
4,15 a 19,1,Femenino,2009,2009,729280.0
4,15 a 19,1,Femenino,2010,2010,731691.0
4,15 a 19,1,Femenino,2011,2011,715935.0
4,15 a 19,1,Femenino,2012,2012,700180.0
4,15 a 19,1,Femenino,2013,2013,684424.0
4,15 a 19,1,Femenino,2014,2014,668669.0
4,15 a 19,1,Femenino,2015,2015,652913.0
4,15 a 19,1,Femenino,2016,2016,643867.0
4,15 a 19,1,Femenino,2017,2017,634822.0
4,15 a 19,1,Femenino,2018,2018,625776.0
4,15 a 19,1,Femenino,2019,2019,616730.0
4,15 a 19,1,Femenino,2020,2020,607684.0
4,15 a 19,2,Masculino,2005,2005,743521.0
4,15 a 19,2,Masculino,2006,2006,746142.0
4,15 a 19,2,Masculino,2007,2007,748763.0
4,15 a 19,2,Masculino,2008,2008,751384.0
4,15 a 19,2,Masculino,2009,2009,754005.0
4,15 a 19,2,Masculino,2010,2010,756626.0
4,15 a 19,2,Masculino,2011,2011,740404.0
4,15 a 19,2,Masculino,2012,2012,724181.0
4,15 a 19,2,Masculino,2013,2013,707959.0
4,15 a 19,2,Masculino,2014,2014,691737.0
4,15 a 19,2,Masculino,2015,2015,675514.0
4,15 a 19,2,Masculino,2016,2016,666244.0
4,15 a 19,2,Masculino,2017,2017,656974.0
4,15 a 19,2,Masculino,2018,2018,647703.0
4,15 a 19,2,Masculino,2019,2019,638433.0
4,15 a 19,2,Masculino,2020,2020,629163.0
5,20 a 24,1,Femenino,2005,2005,651942.0
5,20 a 24,1,Femenino,2006,2006,665677.0
5,20 a 24,1,Femenino,2007,2007,679411.0
5,20 a 24,1,Femenino,2008,2008,693146.0
5,20 a 24,1,Femenino,2009,2009,706881.0
5,20 a 24,1,Femenino,2010,2010,720615.0
5,20 a 24,1,Femenino,2011,2011,722920.0
5,20 a 24,1,Femenino,2012,2012,725225.0
5,20 a 24,1,Femenino,2013,2013,727530.0
5,20 a 24,1,Femenino,2014,2014,729835.0
5,20 a 24,1,Femenino,2015,2015,732140.0
5,20 a 24,1,Femenino,2016,2016,716280.0
5,20 a 24,1,Femenino,2017,2017,700421.0
5,20 a 24,1,Femenino,2018,2018,684562.0
5,20 a 24,1,Femenino,2019,2019,668702.0
5,20 a 24,1,Femenino,2020,2020,652843.0
5,20 a 24,2,Masculino,2005,2005,670186.0
5,20 a 24,2,Masculino,2006,2006,684494.0
5,20 a 24,2,Masculino,2007,2007,698803.0
5,20 a 24,2,Masculino,2008,2008,713111.0
5,20 a 24,2,Masculino,2009,2009,727419.0
5,20 a 24,2,Masculino,2010,2010,741731.0
5,20 a 24,2,Masculino,2011,2011,744305.0
5,20 a 24,2,Masculino,2012,2012,746882.0
5,20 a 24,2,Masculino,2013,2013,749460.0
5,20 a 24,2,Masculino,2014,2014,752038.0
5,20 a 24,2,Masculino,2015,2015,754615.0
5,20 a 24,2,Masculino,2016,2016,738408.0
5,20 a 24,2,Masculino,2017,2017,722202.0
5,20 a 24,2,Masculino,2018,2018,705995.0
5,20 a 24,2,Masculino,2019,2019,689789.0
5,20 a 24,2,Masculino,2020,2020,673582.0
6,25 a 29,1,Femenino,2005,2005,580621.0
6,25 a 29,1,Femenino,2006,2006,595086.0
6,25 a 29,1,Femenino,2007,2007,609552.0
6,25 a 29,1,Femenino,2008,2008,624018.0
6,25 a 29,1,Femenino,2009,2009,638483.0
6,25 a 29,1,Femenino,2010,2010,652949.0
6,25 a 29,1,Femenino,2011,2011,666540.0
6,25 a 29,1,Femenino,2012,2012,680131.0
6,25 a 29,1,Femenino,2013,2013,693723.0
6,25 a 29,1,Femenino,2014,2014,707314.0
6,25 a 29,1,Femenino,2015,2015,720905.0
6,25 a 29,1,Femenino,2016,2016,723076.0
6,25 a 29,1,Femenino,2017,2017,725248.0
6,25 a 29,1,Femenino,2018,2018,727419.0
6,25 a 29,1,Femenino,2019,2019,729591.0
6,25 a 29,1,Femenino,2020,2020,731762.0
6,25 a 29,2,Masculino,2005,2005,590486.0
6,25 a 29,2,Masculino,2006,2006,605947.0
6,25 a 29,2,Masculino,2007,2007,621408.0
6,25 a 29,2,Masculino,2008,2008,636870.0
6,25 a 29,2,Masculino,2009,2009,652331.0
6,25 a 29,2,Masculino,2010,2010,667792.0
6,25 a 29,2,Masculino,2011,2011,681979.0
6,25 a 29,2,Masculino,2012,2012,696167.0
6,25 a 29,2,Masculino,2013,2013,710354.0
6,25 a 29,2,Masculino,2014,2014,724542.0
6,25 a 29,2,Masculino,2015,2015,738730.0
6,25 a 29,2,Masculino,2016,2016,741267.0
6,25 a 29,2,Masculino,2017,2017,743805.0
6,25 a 29,2,Masculino,2018,2018,746342.0
6,25 a 29,2,Masculino,2019,2019,748880.0
6,25 a 29,2,Masculino,2020,2020,751417.0
7,30 a 34,1,Femenino,2005,2005,618176.0
7,30 a 34,1,Femenino,2006,2006,610827.0
7,30 a 34,1,Femenino,2007,2007,603478.0
7,30 a 34,1,Femenino,2008,2008,596129.0
7,30 a 34,1,Femenino,2009,2009,588780.0
7,30 a 34,1,Femenino,2010,2010,581432.0
7,30 a 34,1,Femenino,2011,2011,595746.0
7,30 a 34,1,Femenino,2012,2012,610061.0
7,30 a 34,1,Femenino,2013,2013,624375.0
7,30 a 34,1,Femenino,2014,2014,638690.0
7,30 a 34,1,Femenino,2015,2015,653004.0
7,30 a 34,1,Femenino,2016,2016,666449.0
7,30 a 34,1,Femenino,2017,2017,679894.0
7,30 a 34,1,Femenino,2018,2018,693338.0
7,30 a 34,1,Femenino,2019,2019,706783.0
7,30 a 34,1,Femenino,2020,2020,720228.0
7,30 a 34,2,Masculino,2005,2005,621698.0
7,30 a 34,2,Masculino,2006,2006,614983.0
7,30 a 34,2,Masculino,2007,2007,608268.0
7,30 a 34,2,Masculino,2008,2008,601553.0
7,30 a 34,2,Masculino,2009,2009,594839.0
7,30 a 34,2,Masculino,2010,2010,588124.0
7,30 a 34,2,Masculino,2011,2011,603435.0
7,30 a 34,2,Masculino,2012,2012,618745.0
7,30 a 34,2,Masculino,2013,2013,634056.0
7,30 a 34,2,Masculino,2014,2014,649367.0
7,30 a 34,2,Masculino,2015,2015,664678.0
7,30 a 34,2,Masculino,2016,2016,678740.0
7,30 a 34,2,Masculino,2017,2017,692802.0
7,30 a 34,2,Masculino,2018,2018,706864.0
7,30 a 34,2,Masculino,2019,2019,720926.0
7,30 a 34,2,Masculino,2020,2020,734988.0
8,35 a 39,1,Femenino,2005,2005,620390.0
8,35 a 39,1,Femenino,2006,2006,619917.0
8,35 a 39,1,Femenino,2007,2007,619445.0
8,35 a 39,1,Femenino,2008,2008,618972.0
8,35 a 39,1,Femenino,2009,2009,618500.0
8,35 a 39,1,Femenino,2010,2010,618028.0
8,35 a 39,1,Femenino,2011,2011,610623.0
8,35 a 39,1,Femenino,2012,2012,603218.0
8,35 a 39,1,Femenino,2013,2013,595813.0
8,35 a 39,1,Femenino,2014,2014,588408.0
8,35 a 39,1,Femenino,2015,2015,581004.0
8,35 a 39,1,Femenino,2016,2016,595180.0
8,35 a 39,1,Femenino,2017,2017,609357.0
8,35 a 39,1,Femenino,2018,2018,623533.0
8,35 a 39,1,Femenino,2019,2019,637710.0
8,35 a 39,1,Femenino,2020,2020,651887.0
8,35 a 39,2,Masculino,2005,2005,618613.0
8,35 a 39,2,Masculino,2006,2006,618523.0
8,35 a 39,2,Masculino,2007,2007,618433.0
8,35 a 39,2,Masculino,2008,2008,618343.0
8,35 a 39,2,Masculino,2009,2009,618253.0
8,35 a 39,2,Masculino,2010,2010,618163.0
8,35 a 39,2,Masculino,2011,2011,611452.0
8,35 a 39,2,Masculino,2012,2012,604740.0
8,35 a 39,2,Masculino,2013,2013,598029.0
8,35 a 39,2,Masculino,2014,2014,591318.0
8,35 a 39,2,Masculino,2015,2015,584607.0
8,35 a 39,2,Masculino,2016,2016,599767.0
8,35 a 39,2,Masculino,2017,2017,614926.0
8,35 a 39,2,Masculino,2018,2018,630086.0
8,35 a 39,2,Masculino,2019,2019,645246.0
8,35 a 39,2,Masculino,2020,2020,660406.0
9,40 a 44,1,Femenino,2005,2005,634370.0
9,40 a 44,1,Femenino,2006,2006,631256.0
9,40 a 44,1,Femenino,2007,2007,628142.0
9,40 a 44,1,Femenino,2008,2008,625027.0
9,40 a 44,1,Femenino,2009,2009,621913.0
9,40 a 44,1,Femenino,2010,2010,618799.0
9,40 a 44,1,Femenino,2011,2011,618286.0
9,40 a 44,1,Femenino,2012,2012,617772.0
9,40 a 44,1,Femenino,2013,2013,617259.0
9,40 a 44,1,Femenino,2014,2014,616746.0
9,40 a 44,1,Femenino,2015,2015,616233.0
9,40 a 44,1,Femenino,2016,2016,608801.0
9,40 a 44,1,Femenino,2017,2017,601368.0
9,40 a 44,1,Femenino,2018,2018,593936.0
9,40 a 44,1,Femenino,2019,2019,586504.0
9,40 a 44,1,Femenino,2020,2020,579071.0
9,40 a 44,2,Masculino,2005,2005,627266.0
9,40 a 44,2,Masculino,2006,2006,624448.0
9,40 a 44,2,Masculino,2007,2007,621630.0
9,40 a 44,2,Masculino,2008,2008,618812.0
